1: 803.279053, 803.279053 avg, 0.000000 rate, 4.291879 seconds, 256 images
2: 803.251343, 803.276306 avg, 0.000000 rate, 4.517970 seconds, 512 images
3: 801.974243, 803.146118 avg, 0.000000 rate, 4.697353 seconds, 768 images
16: 804.938965, 803.325378 avg, 0.000000 rate, 5.045233 seconds, 4096 images
17: 803.501465, 803.343018 avg, 0.000000 rate, 4.560594 seconds, 4352 images
18: 803.141846, 803.322876 avg, 0.000000 rate, 4.612165 seconds, 4608 images
19: 802.660889, 803.256653 avg, 0.000000 rate, 4.618376 seconds, 4864 images
32: 805.550598, 803.486023 avg, 0.000000 rate, 4.953578 seconds, 8192 images
33: 804.093872, 803.546814 avg, 0.000000 rate, 4.559216 seconds, 8448 images
34: 805.117310, 803.703857 avg, 0.000000 rate, 4.685605 seconds, 8704 images
35: 804.370667, 803.770508 avg, 0.000000 rate, 4.758083 seconds, 8960 images
48: 802.937073, 803.687134 avg, 0.000000 rate, 4.956116 seconds, 12288 images
49: 803.225220, 803.640930 avg, 0.000000 rate, 4.597461 seconds, 12544 images
50: 804.681396, 803.744995 avg, 0.000000 rate, 4.629191 seconds, 12800 images
51: 805.822693, 803.952759 avg, 0.000000 rate, 4.844908 seconds, 13056 images
64: 801.736145, 803.731079 avg, 0.000000 rate, 5.208117 seconds, 16384 images
65: 801.607422, 803.518738 avg, 0.000000 rate, 4.635653 seconds, 16640 images
66: 800.039917, 803.170837 avg, 0.000000 rate, 4.831501 seconds, 16896 images
67: 799.126465, 802.766418 avg, 0.000000 rate, 4.802127 seconds, 17152 images
80: 798.775269, 802.367310 avg, 0.000000 rate, 5.265355 seconds, 20480 images
81: 797.383606, 801.868958 avg, 0.000000 rate, 4.787218 seconds, 20736 images
82: 793.252930, 801.007324 avg, 0.000000 rate, 4.798707 seconds, 20992 images
83: 792.036255, 800.110229 avg, 0.000000 rate, 4.835904 seconds, 21248 images
96: 784.682617, 798.567444 avg, 0.000000 rate, 5.232317 seconds, 24576 images
97: 783.210938, 797.031799 avg, 0.000000 rate, 4.704950 seconds, 24832 images
98: 775.312988, 794.859924 avg, 0.000000 rate, 4.893799 seconds, 25088 images
99: 770.312073, 792.405151 avg, 0.000000 rate, 4.766215 seconds, 25344 images
112: 761.138000, 789.278442 avg, 0.000000 rate, 5.113361 seconds, 28672 images
